_id,text,label,processed_text,sentiment,emotion
66d048511d7bf0dacc435c8b,They were not forcibly removed. An Arab coalition army attacked the Jews and they encouraged Arabs to leave to enable the eradication of the Jews. They Lost! They’ve been losing ever since! The persistent lie of naqba is used by Salafists like Sinwar et al to fuel hatred of Jews.,neutral,forcibly removed arab coalition army attacked jew encouraged arab leave enable eradication jew lost they ve losing ever since persistent lie naqba used salafists like sinwar et al fuel hatred jew,NEG,anger
66d048521d7bf0dacc435c94,You're accusing me as if I don't accuse jews for their actions just because I also am against muslims,neutral,accusing accuse jew action also muslim,NEG,others
66d048521d7bf0dacc435c98,Worst still they underestimate our patience.,neutral,worst still underestimate patience,NEG,others
66d048561d7bf0dacc435c9a,"Calm down, Hans. You do not have a democratic right to harass Jews on college campuses or anywhere else.",neutral,calm down han democratic right harass jew college campus anywhere else,NEG,anger
66d048561d7bf0dacc435c9b,Next time you want to complain why Jews wanted nothing with you do the research like 1- Jews were forbidden to join the army under the Pact of Umar 2- you don’t deserve it since you gave Jews 0 human rights,neutral,next time want complain jew wanted nothing research like jew forbidden join army pact umar don t deserve since gave jew human right,NEG,others
66d048571d7bf0dacc435c9d,Hitler hated people with money (Jews) and capitalism plus believed in the people work for the country. Thee VW beetle was designed as the car for the people by the people.,anti-Semitic,hitler hated people money jew capitalism plus believed people work country thee vw beetle designed car people people,NEG,disgust
66d0485e1d7bf0dacc435cb6,"I have  a feeling there was some financial issue with his company and he was going to be fired for financial reasons 

He attached to the Jew and israel thing to get ahead of it and claim
victim status",anti-Semitic,feeling financial issue company going fired financial reason attached jew israel thing get ahead claim victim status,NEG,others
66d0485e1d7bf0dacc435cb8,You are part of the Jew media and you hate the Irish. You don’t allow us to have a conversation about  the New Plantation.,anti-Semitic,part jew medium hate irish don t allow u conversation new plantation,NEG,others
66d048621d7bf0dacc435cbb,"Yes
I remember Dems making Uma Abaden 
, a Muslim, humiliate herself by marrying a Jew. Now she is onto Jew #2 with a Soros.

Plants need water",anti-Semitic,yes remember dems making uma abaden muslim humiliate marrying jew onto jew  soros plant need water,NEG,disgust
66d048671d7bf0dacc435cc8,"Loxism is anticaucasion rascism in jews and Kalergi replacement plan is funded by Zionist bankers falsely debunked  on Wikipedia. Just look at open US,EU & UK open borders & Corupt political class complicit in treasonous collusion with them. Only in majority Caucasian nations!",neutral,loxism anticaucasion rascism jew kalergi replacement plan funded zionist banker falsely debunked wikipedia look open u eu uk open border corupt political class complicit treasonous collusion them majority caucasian nation,NEG,anger
66d0486a1d7bf0dacc435ccc,"Oh, yes, so unsafe for those chanting to kill all the Jews.",neutral,oh yes unsafe chanting kill jew,NEG,others
66d0486f1d7bf0dacc435cdf,"BREAKING

Pope Francis: 

“It is a grave sin for people to reject migrants in their countries.”",neutral,breaking pope francis : it grave sin people reject migrant country,NEG,others
66d048721d7bf0dacc435ce2,Lol.. Why don’t you like Jews? Let’s start off simply. You don’t like the Jewish ethnicity? You don’t like Judaism as a religion? You don’t like the Israeli State? All of the above?,anti-Semitic,lol don t like jew let s start simply don t like jewish ethnicity don t like judaism religion don t like israeli state above,NEG,others
66d048731d7bf0dacc435ce5,Total Horseshot. These Hamas Supporters / Glovalize Intifada morons absolutely support Genocide.... Of Jews. Hamas explicitly stated and tried on Oct 7 and everyday thereafter. You're just a pathetic bitter social justice for fraud that loooves today's Islamist neo-nazis. Fuckoff,anti-Semitic,total horseshot hamas supporter glovalize intifada moron absolutely support genocide jew hamas explicitly stated tried oct everyday thereafter pathetic bitter social justice fraud loooves today s islamist neonazis fuckoff,NEG,anger
66d048731d7bf0dacc435ce6,"Students protested the killings in Gaza today. Counter-protesters waved flags, laughed, jeered. Other students easily walked around both groups. A group of us faculty watched for 2 hours. It was peaceful. Then DPSS attacked and dragged away at least 2 of our @UMich students. 1/2",anti-Semitic,student protested killing gaza today counterprotesters waved flag laughed jeered student easily walked around group group u faculty watched hour peaceful dp attacked dragged away least umich student,NEG,others
66d048731d7bf0dacc435ce9,"There were 60 million refugees from WWII.  What makes the 750k from the war the Arabs started so special?

What about the 850,000 Jews forcibly removed from Arab countries around the same time?",neutral,million refugee wwii make k war arab started special jew forcibly removed arab country around time,NEG,others
66d048741d7bf0dacc435ced,"The substitution of the word ‘Zionist’ for ‘Jew’ is the modus operandi of the new antisemitism. Colleges and universities must make it clear that the word games will fool no one.  Engaging in harassment, intimidation, and discrimination against “Zionists” is antisemitism both in",neutral,substitution word zionist jew modus operandi new antisemitism college university must make clear word game fool one engaging harassment intimidation discrimination zionist antisemitism,NEG,anger
66d048761d7bf0dacc435cef,"Hindus in Bangladesh Facing Genocide?
No protests
Campuses silent
Barely covered by the media
Crickets from the UNjustUN
No Jews
No news
Thousands of years of hate.",neutral,hindu bangladesh facing genocide protest campus silent barely covered medium cricket unjustun jew news thousand year hate,NEG,others
66d048771d7bf0dacc435cf7,"That’s a massive contradiction, the Rothschild’s are Jews and Russia supports Iran",anti-Semitic,that s massive contradiction rothschild s jew russia support iran,NEG,disgust
66d048771d7bf0dacc435cf9,And most of “those” people are Jews. ,anti-Semitic,those people jew,NEG,disgust
66d048771d7bf0dacc435cfb,"Muslims aren't a monolith. Just as jews aren't. Christians aren't and atheists aren't. 

You cannot logically hold an entire religion's followers accountable for atrocities committed in it's name.",anti-Semitic,muslim monolith jew are nt christian atheist are nt can not logically hold entire religion s follower accountable atrocity committed name,NEG,anger
66d048771d7bf0dacc435cfd,"This person is a practicing Jew, they don’t use Bibles.",anti-Semitic,person practicing jew don t use bible,NEG,disgust
66d0487c1d7bf0dacc435d01,"you can turn around and go back to yr hole in the ground 
@EylonALevy
, australia doesn't want yr sht. you are not welcome. we have lots of fabulous Jews here, and don't need more of your sort, zionist genocidal monsters",anti-Semitic,turn around go back yr hole ground eylonalevy australia want yr sht welcome lot fabulous jew here need sort zionist genocidal monster,NEG,anger
66d0487c1d7bf0dacc435d02,"Yanis Varoufakis was banned from events on his Aus speaking tour, members of the Palestinian World Cup team were denied visas, and the most recognisable propagandist in the world is doing a national tour.",neutral,yanis varoufakis banned event au speaking tour member palestinian world cup team denied visa recognisable propagandist world national tour,NEG,disgust
66d0487c1d7bf0dacc435d03,"That woman is off her rails infatuated with Jew hatred.  Jews don't eat blood ever. Not the blood of animals and especially not the blood of humans.  All animal meats must be salted (by the butcher)  to remove any blood hence the term ""Kosher salt"".",neutral,woman rail infatuated jew hatred jew eat blood ever blood animal especially blood human animal meat must salted by butcher remove blood hence term kosher salt,NEG,disgust
66d0487c1d7bf0dacc435d04,Have you tried turning off and on your hatred of Jews that drives you to initiate war after war that you eventually lose? Might be a bug. Try it.,neutral,tried turning hatred jew drive initiate war war eventually lose might bug try it,NEG,others
66d0487c1d7bf0dacc435d05,Pro Palestinians cheer Jews being murdered and actively silence other groups from speaking up about their own issues lol,neutral,pro palestinian cheer jew murdered actively silence group speaking issue lol,NEG,disgust
66d0487c1d7bf0dacc435d06,"A Jew calling someone else inbred.
Juden, your whole tribe is inbred!",anti-Semitic,jew calling someone else inbred juden whole tribe inbred,NEG,disgust
66d0487c1d7bf0dacc435d0b,All loss of human life is regrettable. But we are not Jews with trembling knees.  Tell Hamas to return the hostages. The babies first.,neutral,loss human life regrettable jew trembling knee tell hamas return hostage baby first,NEG,sadness
66d0487d1d7bf0dacc435d0d,This reminds me Wehrmacht and Nazi soldiers not protecting Jews during raids and pogroms committed by local nationalists in occupied Ukraine ,neutral,reminds wehrmacht nazi soldier protecting jew raid pogrom committed local nationalist occupied ukraine,NEG,others
66d048801d7bf0dacc435d0f,And you are now making an apology for the murder of Jews. You are just as much of a murderer as they are and you do not deserve forgiveness and all that it means. You are sub humans,anti-Semitic,making apology murder jew much murderer deserve forgiveness mean sub human,NEG,disgust
66d048801d7bf0dacc435d11,Blacks are so sensitive its embarrassing  simple words will make these tards get all of their feelings  oppression Olympics everyday with these victims ,neutral,black sensitive embarrassing simple word make tards get feeling oppression olympics everyday victim,NEG,disgust
66d048801d7bf0dacc435d12,"Who started this war with attacking civilians, killing innocents men, women and children, who started raping women and children. It was Hamas. They really don't care about their citizens. All they want is to kill, maime, rape and kidnap Jews. Not a good thing from world peace.",neutral,started war attacking civilian killing innocent men woman child started raping woman child hamas really care citizen want kill maime rape kidnap jew good thing world peace,NEG,disgust
66d048801d7bf0dacc435d13,"he is probably using the Israel thing/Jew thing for plausible deniability if he his charged with something or sued especially since he had some Jew partners 

kindve like Tate",anti-Semitic,probably using israel thingjew thing plausible deniability charged something sued especially since jew partner kindve like tate,NEG,disgust
66d048811d7bf0dacc435d15,"Well, guy looks like a Jew to me, so I couldn't be fucked lol. Also he lived in UAE, known for it's private party degeneracy",anti-Semitic,well guy look like jew me fucked lol also lived uae known private party degeneracy,NEG,disgust
66d048811d7bf0dacc435d17,"Get the communist out of the White House  they're putting sanctions on Israel, BS we need to push back, biden's got to go to the insane asylum. Harris is a hateful communist witch. husband a  Jew  you want to sanction Israel . Call smokes more pot
 https://breitbart.com/news/u-s-targets-israeli-settler-violence-with-more-sanctions/…",neutral,get communist white house they re putting sanction israel b need push back biden s got go insane asylum harris hateful communist witch husband jew want sanction israel call smoke pot URL,NEG,anger
66d048811d7bf0dacc435d18,Hitler should blame Germany problem to the Indians and jews as second that way there's less stinky horny rapist's walking is this world.,anti-Semitic,hitler blame germany problem indian jew second way there s le stinky horny rapist s walking world,NEG,anger
66d048811d7bf0dacc435d1a,You mean the jews?,anti-Semitic,mean jew,NEG,disgust
66d048811d7bf0dacc435d1d,it comes from the Christian notion that there are no swear words in ancient Hebrew so must also mean modern Hebrew has no swear words (which is nonsense). Therefore no practicing Jew who accordingly only speaks Hebrew would ever swear.,anti-Semitic,come christian notion swear word ancient hebrew must also mean modern hebrew swear word which nonsense therefore practicing jew accordingly speaks hebrew would ever swear,NEG,disgust
66d048811d7bf0dacc435d1e,"Name one non jewish mention of jesus before 175AD.
One source. 
Then you can complain about morons, all you like.
(Tacitus was citing Jew Josephus Flavius.)

The Abrahamics were fabricated by Pharoah's Grain Merchants, Temple Priests, Lawyers, Moneyers,& Scribes.
Formula repeat",neutral,name one non jewish mention jesus ad one source complain moron like tacitus citing jew josephus flavius abrahamics fabricated pharoah s grain merchant temple priest lawyer moneyer scribe formula repeat,NEG,disgust
66d048821d7bf0dacc435d1f,"Communists 'antisemitic'... c'mon, sometimes even jews need to have some honour.",anti-Semitic,communist antisemitic cmon sometimes even jew need honour,NEG,disgust
66d048851d7bf0dacc435d20,"Are you SURE it’s the Jews that are committing genocide? Which charter have you read? The PLO formerly asserted that “the struggle with the Zionist enemy is not a struggle about Israel’s borders, but about Israel’s existence”, is this what YOU support?",anti-Semitic,sure it s jew committing genocide charter read plo formerly asserted the struggle zionist enemy struggle israel s border israel s existence support,NEG,others
66d048851d7bf0dacc435d22,"You mean like when Trump allowed Jews and black people to join Mar-A-Lago, which other private clubs in Palm Beach refused to allow?  Or when he received the Ellis Island award next to Rosa Parks and Muhammad Ali?",anti-Semitic,mean like trump allowed jew black people join maralago private club palm beach refused allow received elli island award next rosa park muhammad ali,NEG,disgust
66d048851d7bf0dacc435d23,There is literally NOTHING Jewish about you.  NOTHING. You were BORN Jewish but you handed in your Jew card a LONG time ago. You are a threat to the lives of Jewish students at Michigan,neutral,literally nothing jewish you nothing born jewish handed jew card long time ago threat life jewish student michigan,NEG,others
66d048861d7bf0dacc435d26,They did it in medieval Spain after Ferdinand and Isabella kicked out muslims and jews.,neutral,medieval spain ferdinand isabella kicked muslim jew,NEG,others
66d048891d7bf0dacc435d2a,"This is literally the ""I used to be a fan of Candace Owens until her takes on Israel and Jews"" shit that I was tweeting about not that long ago.

In the case of Alex Jones it's even more funny because outside the Trump years Alex was never pro Israel and is a much bigger meme.",anti-Semitic,literally i used fan candace owen take israel jew shit tweeting long ago case alex jones even funny outside trump year alex never pro israel much bigger meme,NEG,disgust
66d0488a1d7bf0dacc435d2b,But I’m a Jew too and one who understands that being against the rape and murder of Palestinians isn’t antisemitic. Terrible comeback? Are you a child??,neutral,i m jew one understands rape murder palestinian isn t antisemitic terrible comeback child,NEG,anger
66d0488a1d7bf0dacc435d2d,loving that you racist scum are going broke,neutral,loving racist scum going broke,NEG,disgust
