_id,text,processed_text,sentiment,emotion
66d048931d7bf0dacc435d51,"Jew threatens me with damnation for opposing the will of his people. Pure psychopathology...
#noticing",jew threatens damnation opposing people pure psychopathology #  noticing,NEG,disgust
66d048931d7bf0dacc435d52,You’re so close to the Truth yet your cowardice has damned you. You’re scared of the implications of the obvious truth that the Jews’ historic endurance is evidence that GOD watches over them. So you invent a devil and risk your soul to deny Truth. Turn back before it’s too late.,you re close truth yet cowardice damned you you re scared implication obvious truth jew historic endurance evidence god watch them invent devil risk soul deny truth turn back it s late,NEG,anger
66d048971d7bf0dacc435d53,"You're joking right? You mean the Jews that hi jacked a plane on 911 and sent this out? Hebrew speaker trying to speak Arabic? 
#Israel did 911 and the moment millions of Americans focus on building 7 crumbling despite 0 planes hit it, Israel sucking the USA dry will be over.",joking right mean jew hi jacked plane sent out hebrew speaker trying speak arabic #  israel moment million american focus building crumbling despite plane hit it israel sucking usa dry over,NEG,disgust
66d048971d7bf0dacc435d55,Hate to say it but that jew had it coming,hate say jew coming,NEG,others
66d048971d7bf0dacc435d56,"I often highlight that I live in a rather poor district of Tel Aviv Jaffa, known for a large presence of Eritrean and Sudanese refugees, and among my neighbours in addition to ppl. from Palestinians citizens of Israel to Nigerians are refugee Jews from Ukraine and probably Russia",often highlight live rather poor district tel aviv jaffa known large presence eritrean sudanese refugee among neighbour addition ppl palestinian citizen israel nigerian refugee jew ukraine probably russia,NEG,others
66d048971d7bf0dacc435d57,Here’s something you don’t see very often: The New York Times reports that Palestinian “refugee camps” do not have refugees and are not camps.,here s something don t see often : new york time report palestinian refugee camp refugee camp,NEG,others
66d048981d7bf0dacc435d59,"If Israel would aspire to perform ethnic cleansing of Palestinians- it would be ower in 1969.
In 1949 Israel become a home to 250k Arab citizens. Do you know how many Jews remain in WB and Gaza in 1949? 0. Perfect ethnic cleansing.",israel would aspire perform ethnic cleansing palestinian would ower israel become home k arab citizen know many jew remain wb gaza perfect ethnic cleansing,NEG,others
66d048981d7bf0dacc435d5a,Oh you mean recognizing that the Jew hatred is engrained in Islamic terrorist groups is somehow racist...,oh mean recognizing jew hatred engrained islamic terrorist group somehow racist,NEG,disgust
66d048981d7bf0dacc435d5b,The Jews care gonna call them anti-Semitic ,jew care gon na call antisemitic,NEG,disgust
66d0489c1d7bf0dacc435d5d,"This is the problem people. Folks think once this douchebag is gone, Israel will stop killing. 
WRONG.  Seventy five percent of jews in Israel think the IDF is not using enough force. They want complete destruction. Nothing will change when this one goes,Killings will continue.",problem people folk think douchebag gone israel stop killing wrong seventy five percent jew israel think idf using enough force want complete destruction nothing change one go killing continue,NEG,anger
66d0489c1d7bf0dacc435d5f,Our enemies are jews. 100 million lives lost to Jewish communism.,enemy jew million life lost jewish communism,NEG,sadness
66d0489c1d7bf0dacc435d61,Jews failed to win the war to eradicate Palestinians and are now reverting to ask neighboring countries to accept Palestinians as refugees. The people of Palestine are true to the course of liberating their land and won't accept to be refugees elsewhere. This is a spiritual war.,jew failed win war eradicate palestinian reverting ask neighboring country accept palestinian refugee people palestine true course liberating land accept refugee elsewhere spiritual war,NEG,disgust
66d0489c1d7bf0dacc435d62,The chances of them pressing anyone who isn't chanting 'Death to Jews' is extremely low.  TBH the risk right now of harassment of Jewish students is very high and this will provide a way to allow those who are legit and those who aren't.,chance pressing anyone chanting death jew extremely low tbh risk right harassment jewish student high provide way allow legit are nt,NEG,others
66d0489c1d7bf0dacc435d63,Little did the vietnamese guy know that the jew is to blame for the communism that ravaged his country,little vietnamese guy know jew blame communism ravaged country,NEG,disgust
66d0489c1d7bf0dacc435d66,I have videos of rabbis claiming they will use islam as a tool to destroy Christianity in the west. Jews are the problem. Do not EVER pretend you are our allies,video rabbi claiming use islam tool destroy christianity west jew problem ever pretend ally,NEG,anger
66d0489c1d7bf0dacc435d67,"Wow, your judgment obviously sucks. Terrible come back. I’m a Jew who despises your antisemitic horrors ruining my beloved campus. Go to Gaza and help your folks.",wow judgment obviously suck terrible come back i m jew despises antisemitic horror ruining beloved campus go gaza help folk,NEG,anger
66d0489d1d7bf0dacc435d68,Hey John. You should donate all that money  the jews made you in Hollywood. How  can you  fight against this after they have made you so much money? You’re a hypocrite!,hey john donate money jew made hollywood fight made much money you re hypocrite,NEG,disgust
66d0489f1d7bf0dacc435d6a,"They are liars colonialists sex addicts 
What kind of religion promises you 72 virgins if you kill Jews Christians and atheists !!!! Pathetic.",liar colonialist sex addict kind religion promise virgin kill jew christian atheist pathetic,NEG,anger
66d0489f1d7bf0dacc435d6b,"No Rob, it was the Palestinians who left their homes in 1948 when they expected the invading Arab armies to eliminate the Jews once and for all. Basic history. Learn it.",rob palestinian left home expected invading arab army eliminate jew all basic history learn it,NEG,others
66d048a01d7bf0dacc435d6c,If you don’t realize this tax will make its way to the middle class you’re an idiot. “I didn’t care about the Jews because I am not one of them.”,don t realize tax make way middle class you re idiot i didn t care jew one them,NEG,anger
66d048a01d7bf0dacc435d6d,I don’t have a 100 million dollars. So I don’t care. x.com/goingparabolic…,don t million dollar don t care xcomgoingparabolic,NEG,others
66d048a01d7bf0dacc435d6e,"TM88 had his chance. I asked him if Hitler did anything wrong. He could have said: ""Yes he called for the extermination of Jews. And he mass murdered Jews."" But he didn't. Because he thinks Hitler did no wrong.",tm chance asked hitler anything wrong could said : yes called extermination jew mass murdered jew did nt think hitler wrong,NEG,others
66d048a01d7bf0dacc435d6f,"Germany  attacked whole world and create genocide specially the jew people, when it defeated things become normal with love when the Jewish defend themselves self for there God gifted land the whole world not happy with this small peices of land. Wonderful world",germany attacked whole world create genocide specially jew people defeated thing become normal love jewish defend self god gifted land whole world happy small peices land wonderful world,NEG,others
66d048a01d7bf0dacc435d71,Who is this clown?,clown,NEG,disgust
66d048a01d7bf0dacc435d75,Jews are the real problem not islam.,jew real problem islam,NEG,others
66d048a11d7bf0dacc435d77,"At this point Jews are killing huddled homeless Palestinian families with nothing to their name, except a legitimate family claim to property stolen by Israel.  

That is why israel is doing this.",point jew killing huddled homeless palestinian family nothing name except legitimate family claim property stolen israel israel this,NEG,others
66d048a11d7bf0dacc435d78,"Women will crash out create alliances with women they think they in competition with, bash you and then still stay . If I’m that bad why come back or actively choose to stay . I never met a Jew that missed Hilter and the Holocaust .",woman crash create alliance woman think competition with bash still stay i m bad come back actively choose stay never met jew missed hilter holocaust,NEG,others
66d048a41d7bf0dacc435d7b,"Really ?.. You can't see the difference between normal folks hating the Zionist Pharisees and Sadducees like JESUS did ?

HE called them snakes.

No ""normal ""citizen hates the Jews.
Pharisees and Sadducees and Rothschild's are NOT related to JESUS as Jews.",really ca nt see difference normal folk hating zionist pharisee sadducee like jesus called snake normal citizen hate jew pharisee sadducee rothschild s related jesus jew,NEG,disgust
66d048a41d7bf0dacc435d7d,"Islam is not the problem.
It's muslims and christians who spread lies and want to kill jews that are the problem",islam problem muslim christian spread lie want kill jew problem,NEG,others
66d048a41d7bf0dacc435d80,fake propaganda by Jews,fake propaganda jew,NEG,anger
66d048a41d7bf0dacc435d81,Plus we European don't need anyone to stand against jews let alone our enemies aka Muslims,plus european need anyone stand jew let alone enemy aka muslim,NEG,others
66d048a41d7bf0dacc435d84,Ok again. His mother is a jew,ok again mother jew,NEG,others
66d048a51d7bf0dacc435d89,jews have killed more then the Muslims ever have this isn't up for debate.,jew killed muslim ever debate,NEG,anger
66d048a81d7bf0dacc435d8b,"So, you think Jews are okay as long as they are not Zionist in other words. That's how they fool you.",so think jew okay long zionist word that s fool you,NEG,disgust
66d048a81d7bf0dacc435d8c,You just can’t accept that the catholic church is one of the biggest pro immigration institution and no it is not because of the Jews.,can t accept catholic church one biggest pro immigration institution jew,NEG,disgust
66d048a81d7bf0dacc435d91,The Jew cries out as he strikes you,jew cry strike,NEG,others
66d048a81d7bf0dacc435d92,"It’s not a “false idea” especially on the left. You can’t go singling Jews out as a minority, by saying we can’t define antisemitism. Apply it to all isms and phobias or stop being a hypocrite.",it s false idea especially left can t go singling jew minority saying can t define antisemitism apply ism phobia stop hypocrite,NEG,anger
66d048a81d7bf0dacc435d93,Always using shows for sympathy. No one cares jew,always using show sympathy one care jew,NEG,disgust
66d048a81d7bf0dacc435d94,"The whole world hates babies killers Jews !! 

And people like you making us hate the jews even more !!",whole world hate baby killer jew people like making u hate jew even,NEG,disgust
66d048a81d7bf0dacc435d95,"Ahmed, I write as an Israeli Jew highly critical of the way Israel has conducted this “war,” but should we be insisting Hamas stops fighting? Release all hostages NOW? Those of us that want Israel to stop fighting need to hear calls for BOTH sides to stop (and Hezbollah).",ahmed write israeli jew highly critical way israel conducted war insisting hamas stop fighting release hostage now u want israel stop fighting need hear call side stop and hezbollah,NEG,anger
66d048a91d7bf0dacc435d96,"Effective July 2025, teacher licensing rules passed last year in Minnesota under http://Dem.Gov.Walz will ban practicing Christians, Jews & Muslims from teaching in public schools. Walz as teacher sponsored a student queer sex club in 1999",effective july teacher licensing rule passed last year minnesota URL ban practicing christian jew muslim teaching public school walz teacher sponsored student queer sex club,NEG,disgust
66d048ab1d7bf0dacc435d99,"Everyone who's not Israeli & has been posting about settler terrorists and Christians fighting to keep their homes are also posting this b/c you want to highlight injustice, not just demonize Jews, right? (Israelis, let's keep focusing on our injustices so we can become better.)",everyone who s israeli posting settler terrorist christian fighting keep home also posting bc want highlight injustice demonize jew right israeli let s keep focusing injustice become better,NEG,others
66d048ac1d7bf0dacc435d9c,"Lol

Nothing blind about my disdain for jews or Saint John Chrysostom's disdain for them.  He wrote  Adversus Judeaos (against the jews) or are you ignorant of your Orthodox Father and pillar of The Church as well?

You won't shame me with your liberal tactics and I back my view",lol nothing blind disdain jew saint john chrysostom s disdain them wrote adversus judeaos against jew ignorant orthodox father pillar church well shame liberal tactic back view,NEG,disgust
66d048ac1d7bf0dacc435d9d,Calling for the MURDER of Jews isn’t “anti violence”,calling murder jew isn t anti violence,NEG,others
