_id,text,label
66cf68f6fdc289b67f765772,The Zionist occupation killed this angel,anti-Zionist
66cf68f6fdc289b67f765773,"They've done the same in the UK. This was a #globalists plan for a long time. The #GreatReset has been reset. 

#WEF 
#Zionists",anti-Zionist
66cf68f6fdc289b67f765774,Silkies and plate carrier it is,neutral
66cf68f6fdc289b67f765775,"never, he is a hypocrite, a Zionist! he is putting the whole of Europe in a difficult situation! He is a friend of the genocidal Israelis! he doesn't even talk about the Gaza genocide!",anti-Zionist
66cf68f6fdc289b67f765776,"Zionist imam, a traitor to Islam you know what you deserve I need not to say it. Inshallah it comes to you",anti-Zionist
66cf68f6fdc289b67f765777,so literal babies are terrorists/terrorist supporters average zionist logic,anti-Zionist
66cf68f6fdc289b67f765778,Zionists in Palestine are shameless terrorist scumbags. The failing project of Israhell can't stay for long. It cannot continue depending on Zionist death cults without any glimpse of humanity.,anti-Zionist
66cf68f6fdc289b67f765779,"You don't know what ""Zionist"" means either, lol",neutral
66cf68f7fdc289b67f76577a,"Omg. You can believe whatever you want - the issue is that belief is being treated as a protected class normally reserved for attributes you are born with, like being a woman or disabled.

NYU is saying ""zionist"" = ""jew"", and since being Jewish is protected so should zionist",neutral
66cf68f7fdc289b67f76577b,You can keep going back to when Herzl invented Zionist Ideology… early 1900’s his obsession with forming  a Jewish white supremacist state in the Arab Holy Land known as Palestine. Weitz a Zionist immigrant planned the displacement of Arabs and the law of no return! Evil lot!,anti-Zionist
66cf68f7fdc289b67f76577c,A murder occupant Zionist’s  life is worth like 0.0001 of an innocent Palestinians life,anti-Zionist
66cf68f7fdc289b67f76577d,"""Islam has no place for terrorism and killing of innocent people"" 

Yet the very trustworthy, objective and credible Zionist owned mainstream media keeps saying otherwise. 

Why do my own research when I have this zionist owned media to tell me what to think?",anti-Zionist
66cf68f7fdc289b67f76577e,"The Biggest threat to the UK is the Zionist movement, Starmer and his obsession with sending arms and missiles to use on other countries.. he is like Blair, he is obsessed into believing being a war monger makes you popular.. he is wrong.. his shocking insults to  the UK will",anti-Zionist
66cf68f7fdc289b67f76577f,What is the biggest threat to the United Kingdom ,neutral
66cf68f7fdc289b67f765780,"The world has been completely silent about Palestinian hostages since years. It is time for zionists to understand that the equation now is changing dramatically. Every Palestinian hostage will be in front an Israeli hostage. 
#FreetheHostages 
#FreeHostages 
#FreePalestine",anti-Zionist
66cf68fbfdc289b67f765781,Her job is supporting Zionists and coups.,anti-Zionist
66cf68fbfdc289b67f765782,"She says: ""Palestinian isn't an ethnicity, it's an ideology that says they want all Jews to die.""

She’s projecting just like all Zionists do, when in reality it’s actually this:
“[Israeli] isn't an ethnicity, it's an ideology that says they want all [Palestinians] to die.”",anti-Zionist
66cf68fbfdc289b67f765783,"""I think colonialism gets a bad rap""

Wild exchange with an Israeli far right settler activist, hoping to move into Gaza, and for all Palestinians to be pushed out 

We met Arielle at a tent camp close to the Erez border crossing",neutral
66cf68fbfdc289b67f765784,"You could actually be using your account to call out the ACTUAL ZIONISTS committing this genocide, instead you decide to attack female artists. Your priorities are messed up and you need to rethink things.",anti-Zionist
66cf68fbfdc289b67f765785,No Zionist Jews as well,anti-Semitic
66cf68fcfdc289b67f765786,"And if fit want to talk about Jordan ""proper"" well, they were ushered in by the British empire not unlike the Balfour declaration.
If the British can give Hashemites from the Arabian peninsula the right to rule a land in the Levant, they can give the Zionists as well.
Otherwise,",neutral
66cf68fcfdc289b67f765787,"How many are zionists, though?",neutral
66cf68fcfdc289b67f765788,"Not my problem. People here are starting to starve slowly,lose their homes and get their cars repossessed while unemployment rises exponentially because financing your war for the zionist and bankster resource grabbers is killing our economy. Each American citizen has sent",anti-Zionist
66cf68fcfdc289b67f765789,"If Andrew Bridgen over the past couple of yrs is not enough to let the ppl know we are under tyrannical zionist rule ,i carnt help you .
We need to Unite to Demand theZionist controlled  Gov step down .
Yaxley you NEVER mention the real root cause of why Britain is Broken",anti-Zionist
66cf68fcfdc289b67f76578a,"He's back to make sure his zionist master  gets to finish the job undisturbed... 
Such a piece of khara.",anti-Zionist
66cf68fcfdc289b67f76578b,"Tell him the first rule of being a Zionist is not having ""Free Palestine"" and a terrorist flag in his profile.",neutral
66cf68fcfdc289b67f76578c,"I'm not a zionist but Jews deserve respect and Israel is here to stay.

The West and Arab countries could learn a thing or two from jews.

And Antisemitism is nothing more then pointing out jewish accomplishments which main goal is jewish supremacy.
#Israel #Judaism #Palestine",neutral
66cf68fcfdc289b67f76578d,"It's Peter Beinart, who advocates for a one-state solution and supports the Right of Return. Rabbi Alissa Wise is a leader of the anti-Zionist Jewish Voice for Peace.",neutral
66cf6900fdc289b67f76578e,"Watch Now:
Hamas kills 16 Zionist IDF Soldiers attack in Gaza.
None of this been reported on American or Israeli news channels",anti-Zionist
66cf6901fdc289b67f76578f,"You can short BNB for those of you who have Binance

I just shorted the mother F out of that shiyte coin.",neutral
66cf6901fdc289b67f765790,What is the point of Crypto if Zionist can rob at any given point?,anti-Zionist
66cf6901fdc289b67f765791,"@Keir_Starmer
 Genocide doesn’t have to mean the murder of 6M. As a human rights lawyer you can see genocide taking place in Gaza but you keep supplying weapons to the Zionist state!!",anti-Zionist
66cf6901fdc289b67f765792,"Unless he admits that the entire human race is completely inferior to Jews (which makes him a Zionist)

or

He admits that Jews for centuries and millennia have been having a supernatural backup that always made them survive.

Well that would make him a judaist or believer",neutral
66cf6901fdc289b67f765793,"As a Zionist, you know full well what Zionist Starmer is up to",neutral
66cf6901fdc289b67f765794,Temporary manipulation due to injection of money from zionists. They have closed far too many retail stores,anti-Semitic
66cf6901fdc289b67f765795,"Thinking of you all every hour, an absolute nightmare been forced on you. We are out on the streets shouting at the top of our lungs for our disgusting UK government to stop sending arms to the zionist entity. We will not stop until Palestine is free and colonialism is ended.",anti-Zionist
66cf6901fdc289b67f765796,Because the #Zionists do not want to contract #Polio.,neutral
66cf6902fdc289b67f765797,The West (bank) is Next.,neutral
66cf6902fdc289b67f765798,"Does anyone actually believe Zionists accidentally attacked a UN convoy???

If so why? Because the “most moral army in the world” shies away from committing atrocities???",anti-Zionist
66cf6902fdc289b67f765799,The incident took place near Wadi Gaza. UN spokesperson said he can’t say if israeli attack on UN convoy was intentional or a mistake but reiterated the convoy was closely coordinated with Israel officials. And the UN vehicle was clearly marked as UN with UN logo,neutral
66cf6902fdc289b67f76579a,"""Parasocial relationships"" no I actually call Gaga out when actual, factual issues that occur happen. Claiming she is a zionist because of a show and a fake Israeli propaganda article is something I WILL defend her for because it is absolute bullshit",anti-Zionist
66cf6902fdc289b67f76579b,And just realized how many Zionists Muslims!!,neutral
66cf6902fdc289b67f76579c,YOU are focusing on the wrong problem. the problem is there are zionists part of this project. it doesn’t matter who they are. the fact that they have any part in this is the problem.,anti-Zionist
66cf6902fdc289b67f76579d,"Couldn't give a flying fuck if he's took weight loss pills, injections or whatever.

I do care about his blatant corruption, vile treatment of child asylum seekers, his pathological lying & his zionist support of Israeli genocide & war crimes.",anti-Zionist
66cf6903fdc289b67f76579e,"Zionist #Terrorist #p""!gʻ§ target a Palestinian man with special needs while he was walking on a special needs crossover in Deir al-Balah in the central Gaza Strip

#غزة_الآن
#فلسطين
#القدس 
#جنوب_لبنان

#Gaza_in_Genocide ",anti-Zionist
66cf6906fdc289b67f76579f,yall are wayyy too comfy giving this woman a platform just for the giggles and jokes. shes a fucking zionist.,anti-Zionist
66cf6906fdc289b67f7657a0,Indiscriminate killing makes it hard to think of Zionists in Palestine as humans. They are much closer to filthy animals.,anti-Zionist
66cf6907fdc289b67f7657a1,im as zionist as they come but shmuley is such a bad voice to represent Israel,neutral
66cf6907fdc289b67f7657a2,Because of Zionist Israel,anti-Zionist
66cf6907fdc289b67f7657a3,"Since you are with the genocidal Zionist entity, We are happy that Russia destroys you!!.... I don't hate Ukrainian people, but this man is not the right person to lead Ukraine",anti-Zionist
