_id,text,processed_text,sentiment,emotion
66cf693cfdc289b67f76583a,Jeet shit reactor,jeet shit reactor,NEG,others
66cf693cfdc289b67f76583b,"@POTUS
 So the next phase of the genocide begins. Zionists are exporting their extermination campaign to the Westbank.

Zionists are an evil on this Earth. They destroy all what is noble, sacred...and you - proclaimed to be one of them.

You are one of the reasons humanity ends",potus next phase genocide begin zionist exporting extermination campaign westbank zionist evil earth destroy noble sacred and proclaimed one them one reason humanity end,NEG,anger
66cf693cfdc289b67f76583c,Starmer being controlled by the zionists.,starmer controlled zionist,NEG,disgust
66cf693cfdc289b67f76583d,"What did u expect? Zionists are still allowed to chill on our beaches when they need a break from murdering children! 
Every single one of us should stand against this! 
#Gaza_in_Genocide #FreePalestine #BanIsraeliPassports 
 ",u expect zionist still allowed chill beach need break murdering child every single one u stand this #  gazaingenocide #  freepalestine #  banisraelipassports,NEG,anger
66cf693cfdc289b67f76583e,They did not just arrest a woman for protesting against Israel in the fucking Maldives ffs,arrest woman protesting israel fucking maldives ffs,NEG,anger
66cf693cfdc289b67f765840,"@BowenBBC
  I wonder where #Zionist squatters in the Middle East get their weapons?",bowenbbc wonder #  zionist squatter middle east get weapon,NEG,disgust
66cf693dfdc289b67f765842,If the far left applied the same logic and rhetoric they apply to natives in Africa and natives in the Americas to Israel and Palestine they would be Zionists. They probably would have been literally had Israel been won over to the Soviet bloc.,far left applied logic rhetoric apply native africa native america israel palestine would zionist probably would literally israel soviet bloc,NEG,disgust
66cf693dfdc289b67f765843,"Imma need 'em to cry harder til there's more zionist tears than Palestinian blood.
Last I checked it was a  that was lynched in Belgium. Zionists would have nothing to be afraid of if they weren't slaughtering people
Ain't noone conflating Zionism with Judaism but you, sweety",imma need em cry harder til there s zionist tear palestinian blood last checked lynched belgium zionist would nothing afraid slaughtering people ai nt noone conflating zionism judaism you sweety,NEG,others
66cf693dfdc289b67f765845,I don’t see any Zionist commenting here … wonder why ,don t see zionist commenting wonder,NEG,disgust
66cf693dfdc289b67f765846,"Rosen: ""Leifer’s claims about the contemporary Jewish left collapse into their own contradictions, revealing instead Leifer’s true agenda of left bashing...both for the sake of delegitimizing anti-Zionist voices and... of justifying his own religious shift into Orthodoxy.""",rosen : leifer s claim contemporary jewish left collapse contradiction revealing instead leifer s true agenda left bashing both sake delegitimizing antizionist voice and justifying religious shift orthodoxy,NEG,disgust
66cf6941fdc289b67f765849,"lol a terrorist trying to convince us not to use our eyes to see, HEY zionist ! This is tactic is very outdated and it has proven successful before your genocide, but now we cant help our self noticing whos beheading babies and celebrating rape.",lol terrorist trying convince u use eye see hey zionist tactic outdated proven successful genocide cant help self noticing who beheading baby celebrating rape,NEG,anger
66cf6941fdc289b67f76584a,The Zionist Agenda (1932),zionist agenda,NEG,disgust
66cf6941fdc289b67f76584c,'My zionist paymasters told me too or else I lose my share in the gas & oil' 'if we lose france where else will we lose' Genocide need fascist & fascist need Genocide apparently!,my zionist paymaster told else lose share gas oil if lose france else lose genocide need fascist fascist need genocide apparently,NEG,disgust
66cf6941fdc289b67f76584d,"They're zionists, not Arabs!!",they re zionist arab,NEG,disgust
66cf6942fdc289b67f76584f,"what you said is vague, not my fault. anyway, the Holocaust generated discussion @ trauma among jews; & “trauma produces trauma” = meaningless (cf lit on post-trauma recovery). finally, israel & ethnic cleansing came after shoah, zionist colonizers preceded it.",said vague fault anyway holocaust generated discussion trauma among jew trauma produce trauma meaningless cf lit posttrauma recovery finally israel ethnic cleansing came shoah zionist colonizer preceded it,NEG,disgust
66cf6942fdc289b67f765850,"That prick needs to take the Ireland flag out of his name. Racist, transphobic Zionist ",prick need take ireland flag name racist transphobic zionist,NEG,anger
66cf6942fdc289b67f765851,"Lol I'm pretty sure he teaches that Zionism is the enemy, which it is, but you clowns like to mix regular Jews with Zionist preaching Zionism even though they're not synonymous. Zionism is built on hate ethnic cleansing & genocide! Forcefully taking someone's land is not peaceful",lol i m pretty sure teach zionism enemy is clown like mix regular jew zionist preaching zionism even though they re synonymous zionism built hate ethnic cleansing genocide forcefully taking someone s land peaceful,NEG,disgust
66cf6942fdc289b67f765852,Zionist media. Careful. They are struggling,zionist medium careful struggling,NEG,others
66cf6942fdc289b67f765853,You're attributing arguments to me that I did not make. That are extremely far away from the point I make. Then you dunk on those arguments. Are you sure you're in a position to make a critique of Zionist politics?,attributing argument make extremely far away point make dunk argument sure position make critique zionist politics,NEG,others
66cf6942fdc289b67f765854,"And again, you can’t answer the question :/ this is the problem with Zionists, they pretend like killing children is wrong, then support a settler colonial mission that has murdered, injured, and displaced millions of people over the course of the last 3 generations.",again can t answer question : problem zionist pretend like killing child wrong support settler colonial mission murdered injured displaced million people course last generation,NEG,disgust
66cf6945fdc289b67f765855,I can’t believe Hamas hasn’t released the hostages yet. I can’t believe it’s going to be a year soon,can t believe hamas hasn t released hostage yet can t believe it s going year soon,NEG,surprise
66cf6945fdc289b67f765856,"Rate this community note FALSE!

The source is NOT a ‘Russian Disinformation Channel’ the source is AL JAZEERA and 
@CommunityNotes
 has sourced some random PAID ZIONIST PROPAGANDIST from the BBC…

The same ZIONIST that is CONSISTENTLY attacking pro Palestinian content on X!",rate community note false source russian disinformation channel source al jazeera communitynotes sourced random paid zionist propagandist bbc zionist consistently attacking pro palestinian content x,NEG,disgust
